#{"t_start": 1733943896.3583431, "env_id": null}
r,l,t
17.5,1200,1816.863389
19.0,1200,1834.127261
-992.9,609,1842.669308
11.15,1200,1859.952003
-984.1,895,1872.579732
21.7,1200,1890.152425
20.9,1200,1907.577579
10.25,1200,1925.199046
21.6,1200,1942.635755
14.4,1200,1959.980712
19.75,1200,1977.330812
17.15,1200,1994.281986
10.4,1200,2011.40052
15.2,1200,2028.444148
11.45,1200,2045.920294
101.05,21,2046.19256
27.9,1200,2063.317297
27.9,1200,2080.342216
25.7,1200,2097.639859
26.4,1200,2115.161911
26.9,1200,2132.196097
18.55,1200,2149.748945
23.55,1200,2167.136248
22.25,1200,2184.387252
19.7,1200,2201.649095
25.75,1200,2218.909363
-994.95,1040,2233.883232
106.5,130,2235.629887
25.85,1200,2252.556245
22.35,1200,2269.766801
25.8,1200,2288.58722
128.1,739,2299.478289
23.85,1200,2316.835577
8.45,1200,2334.089147
106.7,134,2335.888829
27.0,1200,2352.969568
25.9,1200,2370.219579
27.6,1200,2387.673347
1.95,1200,2405.337108
104.85,98,2406.793434
100.05,1,2406.807955
25.4,1200,2424.13013
9.4,1200,2441.425407
21.25,1200,2458.646417
39.9,1200,2476.093394
104.95,99,2477.45331
31.95,1200,2494.576593
100.05,1,2494.590628
29.6,1200,2511.761146
105.8,116,2513.365375
8.95,1200,2530.683211
106.3,129,2532.848846
112.45,249,2536.579304
36.6,1200,2553.789938
22.35,1200,2571.115149
123.45,979,2585.395916
27.55,1200,2602.784039
103.75,75,2603.789478
23.7,1200,2621.265429
30.6,1200,2638.540472
100.05,1,2638.554
29.85,1200,2655.807882
30.85,1200,2672.697121
20.8,1200,2690.045308
17.7,1200,2707.749445
32.4,1200,2725.260715
107.5,153,2727.504586
15.55,1200,2744.716284
37.7,1200,2762.241372
6.25,1200,2779.187973
32.3,1200,2796.274753
12.15,1200,2813.362924
123.25,757,2824.456861
36.7,1200,2841.424714
32.9,1200,2858.489866
0.0,1200,2875.760583
36.5,1200,2893.081418
7.5,1200,2910.30491
25.5,1200,2927.461412
8.25,1200,2944.487403
2.0,1200,2961.828962
10.05,1200,2979.045156
0.15,1200,2996.526077
106.15,124,3001.019724
23.85,1200,3018.139295
107.15,144,3020.142102
126.6,532,3027.789105
33.0,1200,3045.072222
38.8,1200,3062.473438
56.05,1200,3079.426671
30.85,1200,3096.685578
-1000.0,967,3110.426469
37.85,1200,3127.404191
117.8,357,3132.401629
35.4,1200,3149.426278
-1000.0,1084,3165.198651
10.3,1200,3182.587388
100.6,12,3182.744423
32.65,1200,3200.073334
104.55,99,3201.389737
30.3,1200,3218.924349
131.85,842,3231.095994
30.55,1200,3248.50406
104.95,99,3249.844905
20.2,1200,3266.660511
20.35,1200,3284.136759
103.0,60,3285.204846
26.75,1200,3302.746118
26.7,1200,3320.12402
28.8,1200,3337.269094
104.4,89,3338.478805
23.8,1200,3355.431926
16.25,1200,3372.614314
131.85,661,3382.092313
21.95,1200,3399.20628
30.45,1200,3416.580533
34.9,1200,3433.886081
103.1,62,3434.726515
107.6,153,3436.985017
28.6,1200,3454.267369
36.55,1200,3471.591229
26.6,1200,3488.88084
47.75,1200,3506.139997
15.0,1200,3523.635263
31.95,1200,3540.058753
31.7,1200,3556.32305
50.15,1200,3572.69757
29.45,1200,3588.953848
121.65,434,3594.757996
7.95,1200,3611.245053
113.4,269,3614.592455
16.45,1200,3630.954558
111.1,226,3633.895676
27.8,1200,3650.099873
17.5,1200,3666.35003
15.1,1200,3682.683528
14.0,1200,3699.270468
100.05,1,3699.284984
32.75,1200,3717.232898
27.3,1200,3733.76989
35.35,1200,3749.964924
15.4,1200,3766.652804
100.05,1,3766.67285
32.7,1200,3782.919132
21.85,1200,3799.190029
13.4,1200,3815.577261
113.1,262,3818.96879
21.6,1200,3835.388763
103.3,66,3836.247662
20.45,1200,3852.631882
33.7,1200,3868.879935
21.15,1200,3885.159049
41.95,1200,3901.777616
9.65,1200,3918.194265
5.0,1200,3934.572502
23.45,1200,3950.900025
100.05,1,3950.912542
22.25,1200,3967.420448
116.05,324,3972.121083
100.05,1,3972.13762
101.55,31,3972.602318
106.35,127,3974.525013
22.6,1200,3990.90865
36.1,1200,4007.200552
25.3,1200,4023.404672
11.05,1200,4039.790901
112.0,244,4043.081141
106.8,140,4044.890475
104.8,96,4046.09746
24.1,1200,4062.507252
26.1,1200,4078.765606
100.05,1,4078.777118
105.2,105,4080.071183
36.65,1200,4096.426592
104.1,82,4097.552582
119.1,421,4103.866229
112.6,258,4107.205797
44.3,1200,4123.528472
14.65,1200,4140.081849
35.7,1200,4156.156119
12.5,1200,4172.613944
104.15,84,4173.645191
100.05,1,4173.66524
114.55,291,4177.479643
108.0,161,4179.860004
38.75,1200,4196.303408
110.0,200,4199.231666
28.5,1200,4215.540846
127.75,702,4224.697382
34.55,1200,4241.180809
9.45,1200,4257.575985
32.1,1200,4273.874499
100.05,1,4273.894547
37.45,1200,4290.174703
35.35,1200,4306.536726
108.85,179,4309.455457
38.05,1200,4325.989958
29.55,1200,4342.394234
14.1,1200,4358.988893
30.85,1200,4375.644607
30.1,1200,4391.776206
32.25,1200,4409.856929
36.6,1200,4426.084207
25.5,1200,4442.408804
35.3,1200,4458.64222
9.05,1200,4474.82062
39.6,1200,4491.37497
46.1,1200,4507.983994
104.7,98,4509.243674
113.5,271,4512.657386
38.4,1200,4528.796378
102.15,43,4529.374125
103.9,78,4530.402774
105.05,102,4531.972698
43.65,1200,4548.300677
100.05,1,4548.314719
2.7,1200,4564.786396
